base_reward,manipulation_attractive,manipulation_cost,net_gain_from_manipulation,penalty
10.0,True,1.0,9.0,0.0
10.0,True,1.0,7.0,2.0
10.0,True,1.0,4.0,5.0
10.0,True,1.0,1.0,8.0
10.0,True,3.0,7.0,0.0
10.0,True,3.0,5.0,2.0
10.0,True,3.0,2.0,5.0
10.0,False,3.0,-1.0,8.0
10.0,True,6.0,4.0,0.0
10.0,True,6.0,2.0,2.0
10.0,False,6.0,-1.0,5.0
10.0,False,6.0,-4.0,8.0
10.0,True,9.0,1.0,0.0
10.0,False,9.0,-1.0,2.0
10.0,False,9.0,-4.0,5.0
10.0,False,9.0,-7.0,8.0
10.0,False,12.0,-2.0,0.0
10.0,False,12.0,-4.0,2.0
10.0,False,12.0,-7.0,5.0
10.0,False,12.0,-10.0,8.0
