access_constraint,baseline_score,case_id,decision,decision_score,document_quality,interpretation,prior_flag,risk_adjustment,threshold,timeliness
1.0,0.044047,1,unfavorable,0.371752,0.377914,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.572776,0.62,0.553624
0.0,0.627206,2,favorable,0.72339,0.440909,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.291213,0.62,0.578293
0.0,0.595702,3,favorable,0.879394,0.907506,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.748508,0.62,0.902808
0.0,0.472454,4,favorable,0.722042,0.397955,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.665251,0.62,0.657652
0.0,0.824091,5,favorable,0.701033,0.006233,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.576973,0.62,0.540596
0.0,0.527931,6,favorable,0.826555,0.844918,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.377905,0.62,0.842699
0.0,0.458345,7,review,0.562872,0.479871,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.561611,0.62,0.441869
0.0,0.739141,8,favorable,0.838163,0.81681,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.357269,0.62,0.62025
0.0,0.569802,9,favorable,0.840316,0.844572,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.475273,0.62,0.824348
0.0,0.515078,10,favorable,0.738237,0.744901,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.567065,0.62,0.917743
0.0,0.354165,11,review,0.526676,0.49443,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.488355,0.62,0.476695
0.0,0.38477,12,favorable,0.78143,0.692815,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.335863,0.62,1.0
0.0,0.505435,13,favorable,0.732915,0.515405,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.370814,0.62,0.692688
0.0,0.442785,14,favorable,0.76886,0.705646,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.585502,0.62,0.613807
0.0,0.368519,15,favorable,0.670603,0.693669,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.560609,0.62,0.169777
1.0,0.064123,16,unfavorable,0.343074,0.382595,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.315408,0.62,0.531006
0.0,0.416751,17,favorable,0.855149,1.0,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.683448,0.62,0.869233
0.0,0.133646,18,favorable,0.738458,0.74939,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.450549,0.62,0.996391
0.0,0.478162,19,favorable,0.757446,0.858137,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.639323,0.62,0.892502
0.0,0.583709,20,favorable,0.71429,0.658699,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.378248,0.62,0.21432
1.0,0.403407,21,unfavorable,0.511964,0.691082,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.139924,0.62,0.445834
0.0,0.667938,22,favorable,0.788913,0.795774,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.430133,0.62,0.322967
0.0,0.562127,23,favorable,0.792776,0.560986,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.766193,0.62,0.665083
0.0,0.504428,24,favorable,0.699593,0.6482,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.224218,0.62,0.390974
0.0,0.51606,25,favorable,0.803456,0.825751,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.370473,0.62,0.706361
1.0,0.61582,26,review,0.542398,0.694438,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.548443,0.62,0.615115
0.0,0.792301,27,favorable,0.848432,0.713937,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.699432,0.62,0.540131
0.0,0.722347,28,favorable,0.706051,0.598104,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.425193,0.62,0.659124
0.0,0.454402,29,favorable,0.789627,0.853558,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.490733,0.62,0.587029
0.0,0.548234,30,review,0.581101,0.628878,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.409944,0.62,0.252793
0.0,0.68683,31,favorable,0.864215,0.931387,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.510249,0.62,0.695675
0.0,0.131662,32,favorable,0.701832,0.565514,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.77415,0.62,0.82591
0.0,0.517499,33,favorable,0.786379,0.689198,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.690029,0.62,0.557882
1.0,0.435253,34,unfavorable,0.418479,0.260274,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.57216,0.62,0.266058
0.0,0.592742,35,review,0.591748,0.351648,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.215211,0.62,0.776718
1.0,0.587472,36,unfavorable,0.474127,0.279617,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.711637,0.62,0.147048
0.0,0.742701,37,favorable,0.852861,0.633799,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.745577,0.62,0.762091
0.0,0.800415,38,favorable,0.842343,0.861671,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.508838,0.62,0.376623
1.0,0.373979,39,review,0.581681,0.665208,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.61191,0.62,0.565761
0.0,0.378591,40,unfavorable,0.503978,0.359475,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.376907,0.62,0.597861
0.0,0.522531,41,favorable,0.843498,0.990485,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.686728,0.62,0.575672
1.0,0.0,42,unfavorable,0.250725,0.602746,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.276781,0.62,0.474657
1.0,0.411271,43,unfavorable,0.314285,0.454396,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.288212,0.62,0.337131
0.0,0.625744,44,favorable,0.709426,0.42077,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.379919,0.62,0.46424
0.0,0.622982,45,favorable,0.872012,0.858264,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.519315,0.62,1.0
0.0,0.409392,46,review,0.610786,0.269919,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.789975,0.62,0.248263
