case_id,confidence_score,downside_exposure,mitigation,recommended_option,risk_item,severity
1,0.867137,100.424503,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
2,0.72818,30.821061,escalate high-severity cases; document threshold rationale; provide contestability pathway,light_touch_support,decision_uncertainty_exposure,low
3,0.768604,84.99086,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
4,0.774008,110.400921,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
5,0.784339,45.042002,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
6,0.723331,115.044703,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
7,0.650602,49.439338,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
8,0.700909,58.454859,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
9,0.785083,110.934377,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
10,0.735234,16.278464,escalate high-severity cases; document threshold rationale; provide contestability pathway,monitor_only,decision_uncertainty_exposure,low
11,0.719996,87.744646,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
12,0.675063,70.50133,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
13,0.69992,78.424984,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
14,0.909836,105.236133,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
15,0.762481,76.957114,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
16,0.699924,204.274026,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,high
17,0.836106,53.820998,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
18,0.775509,10.280324,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
19,0.717051,31.017086,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
20,0.831825,38.933207,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
21,0.811025,128.035018,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
22,0.795784,40.292413,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
23,0.835903,80.557936,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
24,0.900281,47.836839,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
25,0.803381,38.526695,escalate high-severity cases; document threshold rationale; provide contestability pathway,monitor_only,decision_uncertainty_exposure,low
26,0.820978,84.945539,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
27,0.81716,75.313647,escalate high-severity cases; document threshold rationale; provide contestability pathway,targeted_intervention,decision_uncertainty_exposure,low
28,0.790311,68.710969,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
29,0.861746,44.209167,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
30,0.707904,119.718974,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,medium
31,0.879221,81.508742,escalate high-severity cases; document threshold rationale; provide contestability pathway,intensive_review,decision_uncertainty_exposure,low
