application_completeness,delay_days,engagement_count,group,interpretation,label_disagrees_with_construct,latent_need,observed_label,prior_access,prior_access_missing,proxy_score,true_construct_positive,unit_id
0.638515,18.663151,7.509981,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.419478,1,0.428414,0,0.786647,0,1
0.793496,6.66542,5.543462,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.31237,1,0.833853,0,0.5914,0,2
0.563044,10.943679,9.867071,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.195915,1,0.691218,0,0.749822,0,3
0.584269,26.545407,0.0,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.777362,1,0.370717,0,0.607209,1,4
0.464016,28.564173,5.259565,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.542463,1,0.304403,0,0.782704,0,5
0.897618,17.127622,7.169986,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.199849,1,0.659022,0,0.788353,0,6
0.935104,7.595178,4.395583,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.299535,1,,1,0.65406,0,7
0.769635,18.830246,8.544411,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.651832,1,0.645203,0,0.815396,1,8
0.592454,9.699746,5.842794,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.752258,1,0.664013,0,0.609451,1,9
0.816286,8.180024,6.833252,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.301164,1,0.690393,0,0.680112,0,10
0.7608,13.71092,10.468956,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.531677,1,0.585138,0,0.830585,0,11
0.389087,21.647755,8.821189,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.520522,1,0.368346,0,0.80582,0,12
0.687744,15.482766,8.360773,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.366124,1,0.53834,0,0.783058,0,13
0.541785,29.741227,4.101519,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.90103,1,,1,0.763772,1,14
0.763368,20.241953,7.885531,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.203582,0,0.617466,0,0.810556,0,15
0.695962,8.173394,9.842976,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.518756,1,0.470284,0,0.775785,0,16
0.331743,11.662528,7.697537,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.622613,1,,1,0.67145,1,17
0.596421,27.761249,5.239319,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.868305,1,0.482853,0,0.78144,1,18
0.870765,16.108133,4.442842,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.415906,0,,1,0.723127,0,19
0.51747,32.158118,7.182873,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.675396,1,,1,0.851917,1,20
0.963895,10.065975,11.080525,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.547763,1,,1,0.863885,0,21
0.695446,12.995404,9.885106,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.28545,1,0.494175,0,0.810017,0,22
