context,interaction_x1_x3,interpretation,label,label_probability,latent_signal,unit_id,x1,x2,x3
context_a,-1.712278,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.363351,-0.560847,1,0.865872,0.804144,-1.977517
context_b,0.111299,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.69616,0.829076,2,-0.147169,-1.026861,-0.756266
context_a,-0.001787,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.718884,0.938933,3,-0.208535,-1.696922,0.008567
context_a,-1.569354,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.04704,-3.008579,4,-1.328993,1.414038,1.180859
context_b,-0.112481,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.634423,0.551239,5,-0.59748,-1.384944,0.188258
context_a,-2.770587,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.17576,-1.545346,6,0.737538,1.356061,-3.756535
context_b,0.198689,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.246646,-1.116582,7,-0.686854,1.0764,-0.289273
context_b,-0.111692,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.786212,1.302239,8,1.067363,-0.197866,-0.104643
context_a,0.898209,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.305032,-0.823451,9,-0.890655,0.473604,-1.008481
context_a,0.815899,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.436308,-0.256161,10,-0.60257,0.001249,-1.354033
context_a,-0.057886,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.297466,-0.859393,11,-0.056654,1.042175,1.021741
context_a,-0.264962,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.328935,-0.713007,12,-0.510671,0.083767,0.518852
context_a,-0.285587,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.591195,0.368909,13,0.352491,-0.303652,-0.810195
context_a,0.722339,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.229722,-1.209883,14,-0.783257,1.058344,-0.922224
context_b,-3.277985,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.895269,2.145728,15,2.667774,-1.266337,-1.228734
context_a,0.406951,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.385695,-0.465446,16,-0.36228,0.36344,-1.123307
context_b,0.023604,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.320338,-0.752218,17,-0.762304,0.34093,-0.030964
context_a,0.081326,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.741501,1.053785,18,0.257645,-1.174894,0.31565
context_b,0.136582,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.351252,-0.61354,19,-0.073196,1.150665,-1.865982
context_a,0.137381,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.228502,-1.216787,20,-0.132316,1.575583,-1.03828
context_a,0.32788,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.659518,0.661145,21,1.246165,0.886082,0.263111
context_a,0.460982,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.093181,-2.275399,22,-1.174181,1.881957,-0.392599
context_a,-0.165301,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.257777,-1.057553,23,-0.12132,1.168447,1.362512
context_b,0.001725,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.747613,1.085924,24,0.946918,0.020607,0.001822
context_b,0.029155,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.741994,1.056356,25,1.540372,0.885882,0.018928
context_a,-1.724866,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.728007,0.984532,26,1.393009,-0.696234,-1.23823
context_b,-1.643667,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.205435,-1.352665,27,-1.485164,-0.85413,1.106724
context_b,-0.472576,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.374599,-0.512537,28,-0.360092,0.225414,1.312377
context_b,0.480775,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.506554,0.026218,29,-0.419844,-0.012458,-1.145128
context_b,-1.972588,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.085024,-2.375969,30,-2.038906,-0.355224,0.967474
context_a,0.091137,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.483045,-0.067846,31,0.055455,0.159343,1.643444
context_a,1.764816,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.936946,2.698636,32,1.293644,-1.036438,1.36422
context_b,0.093413,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.340016,-0.663224,33,-0.399345,0.75126,-0.233916
context_a,-0.245753,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.532861,0.131635,34,0.451744,0.195619,-0.54401
context_a,0.115029,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.186872,-1.470462,35,-0.697767,1.156209,-0.164853
context_a,0.049285,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.368136,-0.540222,36,-0.341918,0.267968,-0.144141
context_b,-0.949757,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.109341,-2.097491,37,-1.600261,0.499789,0.593501
context_a,-0.478794,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.911127,2.327477,38,1.459464,-1.72349,-0.328061
context_a,-0.834897,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.356765,-0.589435,39,1.029549,1.631146,-0.810935
context_a,0.580004,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.74383,1.06597,40,0.671109,-0.310592,0.864247
context_a,-0.170333,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.683965,0.772052,41,0.195851,-1.018063,-0.86971
context_b,-0.30586,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.467973,-0.128284,42,0.178967,0.515236,-1.709034
context_a,0.302071,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.203959,-1.36173,43,0.290032,2.461703,1.041511
context_b,1.202283,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.306889,-0.814705,44,-0.995168,0.871889,-1.20812
context_a,-0.793704,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.38185,-0.481703,45,0.710456,1.070671,-1.117175
context_a,0.242912,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.596904,0.392581,46,-0.545839,-1.216883,-0.445025
context_b,-0.090901,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.29647,-0.864165,47,-0.144562,1.265609,0.628804
context_b,-0.720241,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.687928,0.790452,48,0.465699,-0.674494,-1.54658
context_a,0.259644,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.475303,-0.098869,49,-0.813241,-0.866958,-0.31927
context_a,0.675633,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.886587,2.056344,50,1.879064,-0.024569,0.359558
context_a,0.077678,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.703425,0.863659,51,0.173283,-1.020121,0.448271
context_b,-0.052565,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.640562,0.577804,52,0.043596,-0.514345,-1.205721
context_b,-0.197918,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.784606,1.292712,53,0.254132,-1.343357,-0.7788
context_b,-1.242857,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.166456,-1.610956,54,-1.141599,0.238788,1.088699
context_a,0.732287,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.695833,0.827533,55,-0.772598,-1.831389,-0.947824
context_a,-2.638642,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.076668,-2.488505,56,-2.061222,-1.010063,1.280135
context_a,-0.482697,Synthetic row for representation-learning audit; label is generated from a known latent rule.,0,0.503264,0.013058,57,-0.278625,-0.778523,1.732424
context_a,-0.911315,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.433523,-0.267493,58,-0.464775,-0.905906,1.960767
context_a,-1.566587,Synthetic row for representation-learning audit; label is generated from a known latent rule.,1,0.148447,-1.746835,59,-1.483834,-0.596817,1.055769
