arm,decision_rule,interpretation,paradigm,reward,running_average_reward,step
intensive_support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,1.0,1
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.5,2
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.333333,3
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.5,4
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4,5
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.333333,6
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.428571,7
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.375,8
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.444444,9
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.5,10
intensive_support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.454545,11
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.416667,12
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.384615,13
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.357143,14
support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.333333,15
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.375,16
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.411765,17
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.388889,18
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.421053,19
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4,20
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.428571,21
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.409091,22
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.391304,23
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.416667,24
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4,25
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.423077,26
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.407407,27
baseline,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.392857,28
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.413793,29
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.433333,30
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.451613,31
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4375,32
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.424242,33
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.411765,34
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.428571,35
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.444444,36
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.459459,37
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.447368,38
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.435897,39
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.425,40
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.439024,41
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.428571,42
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.44186,43
support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.431818,44
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.422222,45
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.413043,46
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.425532,47
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.4375,48
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.44898,49
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.44,50
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.431373,51
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.423077,52
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.415094,53
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.407407,54
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4,55
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.410714,56
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.421053,57
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.413793,58
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.423729,59
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.416667,60
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.42623,61
intensive_support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.419355,62
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.412698,63
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.40625,64
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4,65
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.393939,66
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.38806,67
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.382353,68
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.376812,69
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.385714,70
intensive_support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.394366,71
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.402778,72
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.410959,73
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.418919,74
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.426667,75
baseline,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.434211,76
baseline,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.428571,77
support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.423077,78
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.417722,79
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.4125,80
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.419753,81
baseline,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.426829,82
support,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.433735,83
baseline,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.428571,84
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.423529,85
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.430233,86
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.425287,87
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.420455,88
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.426966,89
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.422222,90
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.417582,91
baseline,explore,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.413043,92
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.419355,93
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,0,0.414894,94
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.421053,95
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.427083,96
intensive_support,exploit,Reward feedback updates future action; safe deployment requires reward review and exploration boundaries.,reinforcement_learning,1,0.43299,97
